"Date/Time","Duration","Sends","Opens","Clicks","Open Rate","Click Rate","Unsubscribes","Word Count","Link Count","Date","Time","Month","Weekday"
2021-05-14 08:08:40,956.542s (~15.94 minutes),2488,1310,736,0.5265,0.5618,1,449,58,2021-05-14,8H 8M 40S,5,6
2021-05-17 08:33:31,713.743s (~11.9 minutes),2494,1392,1331,0.5581,0.9562,3,463,51,2021-05-17,8H 33M 31S,5,2
2021-05-19 08:48:56,1075.392s (~17.92 minutes),2502,1259,839,0.5032,0.6664,1,379,53,2021-05-19,8H 48M 56S,5,4
2021-05-21 09:04:53,855.213s (~14.25 minutes),2511,1192,614,0.4747,0.5151,3,523,51,2021-05-21,9H 4M 53S,5,6
2021-05-31 09:26:39,1514.311s (~25.24 minutes),2542,1023,879,0.4024,0.8592,0,493,58,2021-05-31,9H 26M 39S,5,2
2021-06-02 09:18:24,1074.291s (~17.9 minutes),2542,1099,726,0.4323,0.6606,0,460,49,2021-06-02,9H 18M 24S,6,4
2021-06-04 06:46:36,9765.172s (~2.71 hours),2556,1134,756,0.4437,0.6667,4,466,54,2021-06-04,6H 46M 36S,6,6
2021-06-07 08:43:46,1570.491s (~26.17 minutes),2548,1295,594,0.5082,0.4587,0,515,52,2021-06-07,8H 43M 46S,6,2
2021-06-09 09:19:04,1125.234s (~18.75 minutes),2564,1269,738,0.4949,0.5816,0,481,58,2021-06-09,9H 19M 4S,6,4
2021-06-11 11:38:22,10972.356s (~3.05 hours),2573,991,320,0.3852,0.3229,1,504,62,2021-06-11,11H 38M 22S,6,6
2021-06-14 09:31:16,1108.051s (~18.47 minutes),2574,1285,356,0.4992,0.277,2,457,56,2021-06-14,9H 31M 16S,6,2
2021-06-16 07:56:58,1175.402s (~19.59 minutes),2583,1277,277,0.4944,0.2169,1,453,55,2021-06-16,7H 56M 58S,6,4
2021-06-18 09:40:42,970.457s (~16.17 minutes),2599,1151,334,0.4429,0.2902,1,497,54,2021-06-18,9H 40M 42S,6,6
2021-06-21 07:54:46,1037.331s (~17.29 minutes),2615,1418,322,0.5423,0.2271,2,470,55,2021-06-21,7H 54M 46S,6,2
2021-06-23 07:35:54,1014.768s (~16.91 minutes),2612,1303,274,0.4989,0.2103,0,416,51,2021-06-23,7H 35M 54S,6,4
2021-06-25 07:54:16,951.641s (~15.86 minutes),2628,1276,302,0.4855,0.2367,0,507,57,2021-06-25,7H 54M 16S,6,6
2021-06-28 07:27:41,960.698s (~16.01 minutes),2646,1278,243,0.483,0.1901,0,417,50,2021-06-28,7H 27M 41S,6,2
2021-06-30 08:29:32,989.409s (~16.49 minutes),2656,1313,335,0.4944,0.2551,3,486,51,2021-06-30,8H 29M 32S,6,4
2021-07-02 08:42:45,967.089s (~16.12 minutes),2668,1338,238,0.5015,0.1779,1,470,56,2021-07-02,8H 42M 45S,7,6
2021-07-07 07:35:17,995.36s (~16.59 minutes),2680,1235,244,0.4608,0.1976,1,494,52,2021-07-07,7H 35M 17S,7,4
2021-07-09 00:04:40,783.36s (~13.06 minutes),2687,1311,365,0.4879,0.2784,0,471,56,2021-07-09,4M 40S,7,6
2021-07-12 05:47:49,826.701s (~13.78 minutes),2697,1361,335,0.5046,0.2461,0,460,50,2021-07-12,5H 47M 49S,7,2
2021-07-14 08:26:12,725.1s (~12.09 minutes),2703,1345,244,0.4976,0.1814,0,503,56,2021-07-14,8H 26M 12S,7,4
2021-07-16 09:14:23,699.711s (~11.66 minutes),2714,1292,185,0.4761,0.1432,2,463,58,2021-07-16,9H 14M 23S,7,6
2021-07-19 07:30:34,678.002s (~11.3 minutes),2718,1369,336,0.5037,0.2454,0,482,55,2021-07-19,7H 30M 34S,7,2
2021-07-21 07:12:43,693.726s (~11.56 minutes),2728,1479,259,0.5422,0.1751,1,533,55,2021-07-21,7H 12M 43S,7,4
2021-07-23 09:24:43,713.995s (~11.9 minutes),2739,1272,206,0.4644,0.1619,1,565,60,2021-07-23,9H 24M 43S,7,6
2021-07-26 06:39:40,947.929s (~15.8 minutes),2691,1480,236,0.55,0.1595,0,518,59,2021-07-26,6H 39M 40S,7,2
2021-07-28 07:12:29,713.457s (~11.89 minutes),2746,1500,292,0.5462,0.1947,3,502,60,2021-07-28,7H 12M 29S,7,4
2021-07-30 08:20:23,748.175s (~12.47 minutes),2747,1419,252,0.5166,0.1776,0,489,58,2021-07-30,8H 20M 23S,7,6
2021-08-02 07:57:42,719.468s (~11.99 minutes),2760,1461,265,0.5293,0.1814,1,486,47,2021-08-02,7H 57M 42S,8,2
2021-08-04 05:47:03,1016.874s (~16.95 minutes),2838,1247,243,0.4394,0.1949,1,492,58,2021-08-04,5H 47M 3S,8,4
2021-08-06 07:45:30,688.344s (~11.47 minutes),2842,1498,270,0.5271,0.1802,3,494,46,2021-08-06,7H 45M 30S,8,6
2021-08-09 06:56:44,725.174s (~12.09 minutes),2845,1529,374,0.5374,0.2446,2,512,56,2021-08-09,6H 56M 44S,8,2
2021-08-11 06:57:13,751.139s (~12.52 minutes),2850,1427,410,0.5007,0.2873,2,534,79,2021-08-11,6H 57M 13S,8,4
2021-08-13 07:55:45,759.259s (~12.65 minutes),2852,1424,315,0.4993,0.2212,3,552,66,2021-08-13,7H 55M 45S,8,6
2021-08-16 07:35:35,721.392s (~12.02 minutes),2859,1477,317,0.5166,0.2146,1,459,56,2021-08-16,7H 35M 35S,8,2
2021-08-18 07:08:54,786.726s (~13.11 minutes),2863,1501,356,0.5243,0.2372,3,546,56,2021-08-18,7H 8M 54S,8,4
2021-08-20 07:34:24,764.05s (~12.73 minutes),2866,1384,203,0.4829,0.1467,5,517,46,2021-08-20,7H 34M 24S,8,6
2021-08-23 07:16:16,778.426s (~12.97 minutes),2912,1559,276,0.5354,0.177,2,585,62,2021-08-23,7H 16M 16S,8,2
2021-08-25 07:17:33,745.358s (~12.42 minutes),2933,1534,257,0.523,0.1675,2,514,54,2021-08-25,7H 17M 33S,8,4
2021-08-27 09:27:37,859.472s (~14.32 minutes),2948,1290,220,0.4376,0.1705,0,548,52,2021-08-27,9H 27M 37S,8,6
2021-08-30 07:59:48,771.385s (~12.86 minutes),2972,1759,238,0.5919,0.1353,4,532,50,2021-08-30,7H 59M 48S,8,2
2021-09-01 07:55:25,785.095s (~13.08 minutes),2983,1504,223,0.5042,0.1483,3,509,56,2021-09-01,7H 55M 25S,9,4
2021-09-03 08:10:28,831.427s (~13.86 minutes),2997,1477,257,0.4928,0.174,4,485,55,2021-09-03,8H 10M 28S,9,6
2021-09-08 06:52:47,813.928s (~13.57 minutes),3028,1567,271,0.5175,0.1729,0,544,57,2021-09-08,6H 52M 47S,9,4
2021-09-10 06:59:44,951.806s (~15.86 minutes),3044,1478,269,0.4855,0.182,3,576,44,2021-09-10,6H 59M 44S,9,6
2021-09-13 07:18:06,883.011s (~14.72 minutes),3070,1522,346,0.4958,0.2273,7,559,50,2021-09-13,7H 18M 6S,9,2
2021-09-15 06:53:01,935.082s (~15.58 minutes),3190,1606,311,0.5034,0.1936,1,510,54,2021-09-15,6H 53M 1S,9,4
2021-09-17 07:46:29,988.348s (~16.47 minutes),3290,1661,312,0.5049,0.1878,1,547,45,2021-09-17,7H 46M 29S,9,6
2021-09-20 07:55:18,1025.981s (~17.1 minutes),3370,1670,341,0.4955,0.2042,6,518,37,2021-09-20,7H 55M 18S,9,2
2021-09-22 07:54:54,1061.756s (~17.7 minutes),3498,1726,349,0.4934,0.2022,2,532,50,2021-09-22,7H 54M 54S,9,4
2021-09-24 08:10:22,5109.314s (~1.42 hours),3565,1701,311,0.4771,0.1828,2,575,36,2021-09-24,8H 10M 22S,9,6
2021-09-27 07:19:06,989.618s (~16.49 minutes),3611,1838,352,0.509,0.1915,2,565,54,2021-09-27,7H 19M 6S,9,2
2021-09-29 06:45:36,1030.279s (~17.17 minutes),3625,1905,376,0.5255,0.1974,1,514,58,2021-09-29,6H 45M 36S,9,4
2021-10-01 09:34:55,1283.488s (~21.39 minutes),3648,1588,245,0.4353,0.1543,1,536,45,2021-10-01,9H 34M 55S,10,6
2021-10-04 07:47:17,951.485s (~15.86 minutes),3674,1978,307,0.5384,0.1552,2,449,42,2021-10-04,7H 47M 17S,10,2
2021-10-06 08:41:22,1086.223s (~18.1 minutes),3718,1748,333,0.4701,0.1905,4,499,49,2021-10-06,8H 41M 22S,10,4
2021-10-08 08:27:16,996.146s (~16.6 minutes),3759,1934,357,0.5145,0.1846,3,621,46,2021-10-08,8H 27M 16S,10,6
2021-10-11 07:33:38,1005.531s (~16.76 minutes),3782,1908,388,0.5045,0.2034,1,564,47,2021-10-11,7H 33M 38S,10,2
